id,title,year,movie_embedding
150,Apollo 13,1995,"[0.0042473106,0.011265345,0.0004575158,-0.004624962,-0.007642033,-0.006651781,0.00025731462,-0.0027189688,0.006877543,0.00791559,0.0128432065,0.011603541,-0.0047117528,0.016864035,0.018293662,0.0020092467,-0.0031374607,-0.0073329555,-0.0037829778,0.002285161,0.0020135392,-0.0049749287,-0.010269826,-0.0011789631,0.008419607,0.012287443,-0.006964506,0.0012431412,0.010619575,0.02281232,-0.01264535,0.0035389042,-0.0050898916,-0.0015465032,0.004436398,-0.0052620103,-0.0097174635,0.0037258887,-5.702803e-05,0.007972761,0.0011875778,-0.01553125,0.0154069,0.0032313683,-0.0023207695,0.014617523,-0.020482538,0.0069690477,0.010007714,0.017640876,0.007181536,0.0056895674,-0.0007564363,0.0057451823,0.002047093,0.009294908,-0.0041798875,0.010031685,0.0017158906,-0.0033855846,0.00023067894,0.0028949578,0.0024363182,0.009343565,0.008036253,0.0113427965,0.0051606917,0.0069593247,0.003077704,-0.0019468429,0.0009721937,-0.0017256439,0.009598182,0.00093810976,-0.008972736,-0.016386118,0.010848048,-0.0020342455,0.011370244,0.015230835,-0.00202792,0.013784011,-0.0044772048,0.0025626891,0.011726328,0.0011198467,0.0026427438,0.0029323187,0.008088657,0.01827381,-0.020787913,-0.004327049,0.0054115388,0.009237695,0.0042359955,-0.013089211,-0.0030859131,-0.0013193352,0.0039974297,-0.00022356794]"
151,Rob Roy,1995,"[0.00022886433,0.017115727,0.011741252,-0.0130246,-0.00956037,0.009140666,0.009220767,-0.0068610488,0.008278192,0.009777631,0.022527806,0.0010658713,-0.007281071,0.024356652,0.021579457,0.0065899207,-0.007773009,-0.0008959556,0.0052002403,0.0023058844,-0.008654775,-0.020127932,0.002936751,-0.0011773874,0.017249022,0.028609864,-0.0036986961,-0.017396016,-0.00362602,0.020826686,-0.020231986,-0.0049579563,-0.007533448,-0.016446527,0.0022970918,-0.010059395,-0.013098681,-0.0050205095,0.009550385,0.0043781716,-0.013067273,-0.010632825,0.002135357,-0.011861669,0.009005419,0.018726628,-0.009581433,0.004995105,0.018328797,0.025968108,0.015401634,0.004179241,0.018923987,0.0012677801,-0.0052103,0.02186972,0.0036078887,0.0030709687,0.0005565798,0.011403057,0.019300656,0.01307822,-0.005776788,0.017394612,0.015113865,-0.0033239922,-0.0019217554,0.005771445,0.010408756,0.00071731315,0.004501683,-0.0049949973,0.0040060063,-0.00049821445,-0.012851677,0.0035400481,0.0006440197,-0.018410005,0.025670432,0.012998275,-0.003388074,-0.0013669006,-0.010831772,-0.002837541,0.014343894,0.00077817636,0.0030062455,-0.011075154,0.032598823,0.010123659,-0.009337765,-0.020361394,0.0077635897,0.011015128,-0.0032944386,-0.020424416,-0.00032605947,0.0009753346,-0.010606679,-0.009147737]"
152,"Addiction, The",1995,"[0.0055085397,0.024744546,0.008569706,0.023750374,0.0057574674,-0.0040348866,-0.012150836,0.013985392,0.0021572697,0.020060334,0.01792981,-0.002532093,0.0020278052,0.013877926,0.018601362,0.022258708,0.012016623,-0.0111716315,-0.01649955,-0.019495426,0.014579717,0.00778621,0.004572547,-0.0075834384,0.00021137545,0.013330813,0.019417718,-0.023321204,0.01193693,-0.010263485,-0.017441308,0.008958189,-0.00980714,-0.0069513735,-0.0009846421,-0.0047497074,-0.007646439,-0.0056277076,-0.007167693,-0.00031422582,-0.016588464,0.008739406,-0.009095261,-0.0051646167,-0.017101636,0.010771996,0.013663253,-0.0024850108,0.004318917,0.0035457714,0.0038449948,0.00414596,0.0025847962,0.012478715,0.003447278,0.017190097,0.0038293237,-0.0037488525,-0.014842956,0.023333497,-0.018070567,0.010946251,0.01809795,-0.012434044,-0.011449283,0.03227148,-0.009781125,0.015778169,0.012328105,0.005711333,0.019131117,0.009226271,-0.0029458508,-0.0012067918,0.027454566,0.00069091865,0.014082833,0.02195082,0.0031131676,0.0068235355,0.0009898914,0.010844844,0.007329457,0.029965274,0.0044964673,-0.012256478,-0.0021330332,0.0012643147,0.004745316,0.009597039,0.022511223,0.007079901,0.011032714,0.0075646527,0.0070863706,0.039134447,-0.0056721433,-0.0010443925,-0.003385999,-0.013187415]"
153,Batman Forever,1995,"[-0.0049353116,-0.00045294393,0.021937462,-0.016323196,0.016417516,0.016576597,-0.01462261,0.009652348,0.0107615255,0.013136233,-0.036114164,0.03697023,-0.021601966,0.016257819,0.024440838,0.017292239,0.018786069,0.023028482,0.009039193,-0.0018062422,-0.013997554,0.016046824,0.0034747755,0.00814301,-0.000588757,0.03680271,-0.0039990162,-0.020309066,-0.007142541,0.008353604,0.010973883,-0.00030773313,0.026413128,-0.013535485,0.0069570877,0.014238573,0.019774035,-0.01581379,-0.011289685,0.019658199,0.038210675,0.0049012587,-0.009339034,0.012401873,-0.009819699,-0.018320175,-0.0025025008,-0.012020139,-0.01910881,0.007862193,-0.013225398,0.013966566,-0.012967207,0.00603873,0.010478999,-0.01380925,-0.0019558575,0.0007291226,0.00451344,-0.014461923,-0.010966994,0.011550588,0.01600427,0.03546921,-0.023857452,0.0033640536,0.0034929977,0.016291331,0.00025063124,-0.005465313,0.013604828,-0.022343121,0.0012352949,0.010014286,-0.0044465815,-0.0038794084,0.02058707,0.0025541482,-0.008768728,0.006344575,-0.0014881172,-0.013935598,-0.019433502,0.0049652453,0.0034024671,-0.0041863825,0.0020520801,0.012700048,0.022646805,0.011795937,-0.011071522,0.006553661,0.013232946,0.006715476,0.009135276,-0.011023195,-0.008428357,0.034982745,0.025539525,-0.0038627544]"
154,Beauty of the Day (Belle de jour),1967,"[-0.005982909,0.0024699187,-0.0019128656,-0.00016665472,-0.013661554,0.0045011737,0.0074362564,-0.011258808,-0.003363306,0.0046704425,-0.0054979795,0.011282061,-0.0009838236,0.014223556,0.006549694,-0.0075750174,-0.015420327,0.0016681005,0.021499507,0.0089298785,-0.0008153885,0.010644047,0.0037180935,0.007627527,0.0134736905,0.0043264898,-0.0022592572,-0.004900367,0.012472953,-0.0011822951,0.010321071,-0.015205437,0.0042933817,0.014220557,-0.00011533647,0.025883352,0.012195602,-0.019145489,0.011409555,0.010930528,0.0070296056,0.001912654,0.0017675448,0.0035024649,-0.0022264156,0.0032268292,0.0074750874,0.005082108,0.003867894,0.00088389695,0.0014350348,-0.00045840716,-0.0072767395,0.001801347,-0.0059220525,0.0036512811,-0.0068843174,0.010191725,0.0041945106,-0.008789398,-0.0035737767,-0.0022977628,-0.011212841,0.0019205936,-0.013955339,0.00030986135,-0.011833569,0.000700557,-0.017547967,0.024684329,-0.0033796555,0.00566005,0.008559233,0.015681205,0.002330727,0.02762198,0.0017741474,0.009730299,0.0060954876,0.008237287,0.002967433,0.011435759,0.005646782,-0.01491945,0.011550528,0.0052950345,0.014301996,0.022046886,-0.0023981219,0.0009806209,-0.018139882,0.011800774,0.010762966,0.010543641,-0.00781104,-0.006790288,0.0070135146,-0.0015437069,0.004898482,-0.0026827403]"
155,Beyond Rangoon,1995,"[-0.011263268,-0.023645425,0.0049545066,0.0066570947,0.0007303017,0.01830314,-0.0041093077,0.015512586,0.014296053,0.003211381,-0.0052196346,0.0049104188,0.0058735698,0.014258925,0.019751554,0.0075883754,0.003610583,0.00970117,-0.0032873119,0.0004034884,0.019704923,0.0068093464,0.013528692,0.012757251,0.015123576,0.009500683,-0.0013576972,-0.0116190035,0.011430086,-0.026545487,0.004153678,-0.010402001,0.0042275805,0.012264224,0.0017964968,0.00043873128,0.017366514,0.003419116,-0.00863128,0.0042638094,-0.011286037,0.009053643,-0.0020107487,-0.00028910395,0.0049751177,0.03604525,-0.017520817,0.014583828,0.018661449,-0.012643093,-0.009779731,0.00722677,0.009597656,0.0037653402,0.008360468,0.016936364,0.0059260754,0.0161368,0.008666753,-0.0013795445,0.009861723,0.011358107,-0.01784238,0.014489797,0.00040905934,-0.009882275,-0.008182891,0.028824031,-0.00057915377,0.0024873244,0.017177736,0.025531337,-0.005171523,0.013871485,-0.0050236727,0.011214398,-0.0067619164,-0.0067449016,-0.016048165,-0.004649727,0.0010615801,0.002319896,0.019786231,0.010454774,0.012900374,-0.006431257,0.00019590594,-0.0026996157,-0.024973625,-0.0055083986,-0.011899119,-0.006198866,0.011177627,0.009609662,-0.00506366,-0.0031500857,0.010112584,0.00070276775,0.01621792,-0.0028847982]"
156,Blue in the Face,1995,"[0.010192173,0.0059509873,0.009201225,0.030139448,-0.053142313,-0.011981895,0.022978015,0.022041945,0.03189159,0.0077341804,-0.017602175,0.04614425,0.03465243,0.008676615,0.005560318,0.00047249012,0.032219116,0.0072695916,0.038752444,0.012542105,0.031241737,-0.0015114668,-0.023025827,-0.02449242,0.0036784362,0.013193462,-0.032893654,-0.017131096,0.07761634,-0.010664725,0.025748573,0.04641738,0.041461915,-0.013766322,-0.024686178,0.04716533,-0.029135145,0.041807067,0.039544348,0.04333159,-0.017902398,-0.025512205,0.015842611,0.03406591,0.05188505,0.015365825,-0.025982495,0.032261256,-0.030461637,0.027105218,0.0015633238,0.03004671,-0.01321394,-0.020932645,-0.000890848,0.060848866,-0.024829464,-0.052521892,-0.04280776,-0.0018444922,-0.020061107,-0.00475604,-0.02491012,0.0035416232,-0.007018767,-0.0043235337,0.015652081,-0.04508482,0.014115591,-0.011801034,0.001419697,-0.011973785,0.038459554,-0.06544632,0.0081711,0.033332817,-0.001499582,-0.010184023,0.012874242,-0.012872234,-0.04328513,0.058064,0.042040933,0.02122327,-0.04014382,0.013925148,-0.005820979,0.0064212456,0.013698586,0.015951302,0.034404118,0.021146992,-0.030609652,0.03195545,-0.03946861,0.04444709,-0.038397357,0.015199797,0.010155353,-0.024153488]"
157,Canadian Bacon,1995,"[-0.008360313,0.0048645954,0.0049171667,0.0028724214,-0.009114501,0.005296758,-0.0073410543,0.016541148,-0.0016900687,-0.002851594,0.0022777675,0.0027591095,-0.004011313,0.00092574756,-0.001894821,0.0059467796,0.016434675,0.0025883701,0.0073292498,0.0044528786,-0.0039680605,0.011061796,0.006347402,0.006545408,0.0059094965,0.003410992,-0.009336248,-5.5748147e-05,-0.0020707336,0.013614121,0.005445998,0.010568852,0.006669213,-0.0006058383,-0.0027901921,0.0007435944,0.009836365,-0.0066676154,-0.0094459625,-0.0032039017,0.002223863,0.002318671,-0.018686071,-0.0031235425,-0.005025647,0.0049970583,-0.0013974723,0.01258737,-0.009049232,0.0061236653,-0.002923034,0.01435608,-0.007895112,-0.0025007448,0.005951282,0.0036443588,0.01409319,-0.008983026,0.022194227,-0.0005608145,-0.004048509,-0.0072807474,-0.0028180412,-0.0031557905,0.00766419,0.003804639,-0.01466531,0.009149416,0.0143555775,0.008114553,0.00403975,0.010489375,-0.008703252,0.0048932834,0.008855091,0.0025921827,0.0072305393,-0.00325862,0.0059541487,-0.012713429,0.0004313853,-0.0034682595,0.00328642,-0.005567328,0.00026158034,-0.0037063097,0.007995597,-0.002039894,0.002766528,0.0053435867,0.001944559,-0.0017913528,0.015314791,0.0043183784,-0.0024664686,-0.0051806313,-0.00077287207,-0.005906314,0.006851537,-0.012518552]"
158,Casper,1995,"[-0.0048713796,-0.0095842155,0.0016816746,0.0028039103,-0.0044734455,-0.010267652,-0.0014080399,0.012347593,0.012810109,0.00049446756,-0.012514422,-0.01454423,0.0034108884,0.008280179,-0.010666884,-0.00096100895,0.01060154,0.0029097514,0.004742151,-0.004976317,0.008400553,0.012715398,-0.008980908,-0.002417522,-0.0023968648,0.011315349,-0.005782117,-0.00019727541,-0.0012716895,0.009367444,-0.0049465173,0.0041651763,0.004571045,0.00093259127,0.0031891959,-0.01273676,0.013832025,0.0049080555,0.0011554096,-0.007081606,0.0030505874,0.010681855,-0.011188221,0.0057161497,-0.00075481716,-0.008420578,-0.0046410128,0.016025815,0.0068527814,-0.0012390879,0.007617451,0.021190949,0.0012454847,0.0018464485,0.0054999255,-0.0062222253,-0.006216543,0.009679067,0.004680763,0.0111172255,0.0041024704,-0.009042622,-0.0023687037,-0.00051348127,0.0035731904,-0.0026485769,-0.0015560949,0.00076123583,0.008478405,0.00070287124,-0.0002786489,0.0056465673,0.0035993822,0.0076950016,0.0017998336,-0.004993263,-0.009889936,-0.0047126226,0.013266404,-0.0085499445,0.002511674,-0.005572614,-0.003361332,0.00041690198,0.001500192,0.0034000366,0.0038489588,0.0028796517,0.0017563996,-0.0052302266,0.001507276,0.00081601564,-0.0044985954,0.002741668,-0.007614817,0.003554059,-0.0044418983,-0.0042970064,0.00956195,-0.004886697]"
159,Clockers,1995,"[0.0012680894,-0.00088631583,0.013614476,-0.023875797,-0.0033849154,0.0062757474,-0.026747128,0.017977938,0.023375962,0.0035734912,-0.003553875,0.012464183,0.010536807,0.014136497,-0.011211959,0.007849653,-0.009867225,0.00794076,-0.004457793,-0.010065947,-0.0037196479,-0.004632978,-0.010520593,0.034074083,-0.02466388,0.01946,-0.0057942146,0.0036235123,-0.008331302,-0.00857101,0.021005446,0.005614292,-0.004797023,0.0039330632,0.008470826,0.034412615,0.020478396,0.014213177,0.029176004,0.024801793,0.0122208465,0.035258766,-0.016887603,0.041377883,-0.00834992,0.015957074,-0.008934727,0.012504246,0.00025528096,0.008109518,0.0011545534,0.008568927,0.02389433,-0.001384042,-0.029397387,0.0014968548,0.010686962,0.017343573,0.0056498707,-0.00012123675,0.004182967,0.0031634676,0.00878074,0.002745702,0.018839031,0.01108797,0.016288903,0.01135267,9.873038e-05,0.001466219,0.007952584,-0.007503223,-0.0069771,0.0006794642,0.0028232322,0.022179423,0.00019605114,-0.00056663586,8.721569e-05,0.031980775,0.017762884,-0.008795973,-0.010134642,0.0008803303,0.005776445,0.0014735865,-0.015003618,-0.009201378,0.011933533,0.010956641,0.001415524,-0.0018578355,0.016332852,0.0058093457,0.0049451883,0.0015673165,-0.014924465,0.0048219697,-0.02486638,0.008313637]"
161,Crimson Tide,1995,"[0.00085555966,-0.009097139,0.0022016389,-0.006810734,0.0118061425,-0.0075130966,-0.012285529,0.035705343,0.0026801638,-0.0032092072,0.00999981,0.0018027507,-0.0034383603,-0.0061664614,-0.008871035,-0.0054043103,-0.0039477753,-0.0049626217,-0.019832037,-0.0059302747,0.014547128,0.0076765744,-0.011903577,0.019630775,0.002882808,0.0059376606,0.026297858,-0.009838898,-0.012010985,0.0008014675,0.011451329,0.007603579,0.003057084,-0.0008826128,-0.007956965,0.008918047,-0.016132774,0.015499016,0.014020426,-0.0068962825,0.014239615,-0.00089970103,-0.002082526,0.00065155834,0.0060578864,0.0074509415,0.01592353,-0.004324127,0.023953795,0.0067042857,-0.0029350054,0.0022779217,0.001029895,-0.0028177984,0.0018171754,-0.016017316,-0.00200947,-0.012371537,-0.010911414,0.00016245575,0.0062864996,-0.012295256,-0.026196878,0.014427522,0.002614493,0.01164142,-0.018835489,-0.0020292248,0.0063101063,0.0034907018,-0.006261047,0.025302362,0.00087229337,-0.012680825,0.013127311,0.0072381226,-0.0012516277,-0.0008124609,0.01823373,0.011860006,0.014510805,-0.0005925876,-0.005273259,0.0056598363,0.005039375,2.9037246e-05,0.007125135,0.009984097,0.02401516,0.0053481017,0.014308309,-0.010827309,-0.00023640599,-0.0056251693,-0.0016635582,0.02859342,0.013337491,0.0006922923,-0.0011466108,0.008170761]"
162,Crumb,1994,"[0.006356558,-0.0027262,-0.007282961,0.005039483,0.0050496487,-0.0007223003,0.0031224964,0.009545812,-0.0025578558,0.0069442657,0.0062298626,-0.01091884,0.00413449,0.0060256836,0.011442991,-0.011013337,-0.0065070945,0.0074458853,0.0056383023,0.0121538695,0.018726295,-0.0014727191,-0.014154292,0.020035388,0.013640465,-0.0021669467,0.0051803505,-0.0031339114,0.00690401,0.005530746,-0.00439685,0.012425368,-0.012371648,0.011778982,0.008154599,-8.44302e-05,0.014030347,0.011045665,-0.0051820264,0.0020372707,0.016291644,0.0074388348,0.0024474373,0.009051067,0.0022970554,0.0015264371,0.009838467,0.0034794991,-0.0022184749,0.0104520405,0.016886948,0.014716133,0.020554664,-0.0033119349,0.008514816,-0.0032596516,0.0115407035,0.009597879,0.0042968644,-0.003792949,-0.0047583105,0.010932778,0.009872121,-0.004952398,-0.00880028,0.017413098,-0.015929893,-0.0046461103,-0.008383009,0.0008263413,0.0061456803,0.0015382865,0.006645903,0.009506857,0.015474444,0.0025775658,0.00583677,-0.008554416,0.00031997132,0.022561058,0.0027272983,0.013651136,0.014153626,0.007208892,0.020353984,-0.009363777,0.02903897,-0.00965232,-0.011925165,0.02376963,-0.0032560243,-0.0075644366,0.0020548035,0.007874702,0.0076624863,0.002993892,-0.017381681,0.015289742,-0.010017144,-0.004287479]"
163,Desperado,1995,"[-0.0072746654,-0.0024774512,-0.0024683205,-0.005529377,-0.0011874412,-0.0009006054,-0.003134647,0.010349698,0.017337652,-0.008540224,2.1206013e-05,0.013393874,0.0010959033,-0.0026256377,-0.0014792702,0.010619079,-0.012929395,0.0020458542,0.007042308,-0.0070349257,0.008867526,0.0010003039,0.00588131,-0.003236338,-0.0034579958,0.005146191,0.0041143787,0.0076300413,0.006900785,-0.0039064456,-0.0014320966,0.0002472302,-0.002194466,-0.0004305073,-0.0023679605,0.0026227087,-0.005704304,0.0057641384,0.00011212687,0.0072312024,-0.003981309,-0.00093793997,0.0077140187,0.0046633724,0.008663573,-0.004615725,0.007476171,-0.0022156471,-0.005924629,0.0034433573,0.006646189,-0.006943566,-0.0066287247,0.00047774374,-0.0019548154,0.008993743,-0.0075605386,-0.002365118,-0.014765039,0.013806203,0.004869534,0.0046817204,0.0046931277,0.0136902025,-0.0066359034,-0.013279882,-0.002987076,-0.01204982,-0.007405784,0.0009488846,0.00775735,-0.005132217,-0.01468586,-0.003065271,0.0017486588,0.010682564,-0.0022811722,0.0052828314,-0.0007594391,0.0008835187,0.0015602185,-0.006995269,0.005992709,-0.011841533,-0.00034035486,0.0002680971,0.0038311977,0.0010235315,-0.008872492,0.0058048177,-0.0024784633,-0.0070033693,0.0036568833,0.0012085856,-0.0076589426,-0.007792217,-0.0023890077,0.0006460423,0.0025539156,0.004157916]"
164,Devil in a Blue Dress,1995,"[-0.0054046107,0.011673634,0.017097626,0.016733188,-0.015537733,-0.0043336228,-0.0117206555,-0.011029361,-0.013374316,0.0032094752,-0.0030084844,-0.00020930039,0.0016762789,-0.008479079,0.015982613,-0.0035971603,0.007714064,0.001931601,-0.017641343,-0.00758094,-0.004467299,0.0020174123,0.011430363,0.006488495,-0.00015284162,0.01310171,-0.008221878,0.025196398,0.013829908,0.00012525773,0.026610374,-0.0086881,-0.004651523,-0.008304859,-0.00924757,0.007493434,0.003284176,0.0021698962,0.0067636627,0.0037665465,-0.012775743,0.013380334,0.009900439,0.0065028216,0.0072636553,-0.0014751466,-0.011997296,0.008825832,0.016939167,0.0038579234,0.0018458203,-0.0020545453,0.014195414,0.006020774,0.013157392,0.0052638426,0.0021843668,0.0033401663,-0.0040670796,-0.020495323,0.008822709,0.01000488,0.0016838143,0.013563915,0.009485403,0.009582224,0.0056890873,0.00021323588,-0.0038230275,0.023239812,0.010992914,0.005274712,0.005387466,0.010333499,-0.010458634,0.0010674351,-0.018646402,-0.007294275,0.0011039248,0.0033277373,0.0032868865,0.003417207,0.004954368,0.0034388201,0.007594502,-0.0073698172,-0.013025724,0.010073247,-0.010869631,-0.003830119,0.0030143855,-0.010112571,-0.01580831,0.0011062311,0.0031459166,-0.010376868,0.009395407,0.0042968635,0.010738556,0.0017998387]"
165,Die Hard: With a Vengeance,1995,"[0.014665693,0.007169194,0.0040996075,-0.0028372786,-0.0081659,-0.00519715,0.0066037695,-0.008174299,-0.021296302,0.015896,0.0045935987,-0.026117379,-0.009071582,-0.0075574797,0.016754271,0.008492575,0.0051451176,0.002405667,-0.03226726,0.0014089159,0.023391884,0.020728368,-0.0015921213,-0.0113959545,-0.00012457078,0.018557586,0.012236218,0.0016751428,0.023486808,0.016432872,0.035937153,-0.0041168975,0.0034790335,-0.00093819073,-0.010301892,0.006976432,0.018651428,-0.0033375476,0.025646014,-0.016274855,-0.028994754,0.020670911,-0.0190179,0.00033475645,0.0038561134,-0.0028914819,0.003475852,0.0042995885,0.008398134,-0.002078375,0.005601745,-0.0008947397,0.029507713,-0.001574385,-0.007010651,0.013144456,0.026979826,-0.005291372,-0.02225058,-0.016893838,-0.019459512,-0.018475793,0.016313124,0.015645145,0.0072445525,0.0077730636,0.017670192,0.021668142,0.0072269733,0.0034711892,0.010667523,0.0033968221,0.019494893,-0.016867258,-0.016227273,0.015296929,-0.0044418024,0.00853332,-0.011882466,0.03270264,0.0033615604,0.014170818,0.0043755886,0.020461548,-0.0053222366,0.012539899,0.006789345,0.0013086521,-0.013046059,-0.010795849,-0.00813837,0.028169045,-0.020254971,0.01720273,0.0015354867,0.013607486,0.0020338162,-0.006493494,-0.004109421,-0.016108874]"
166,"Doom Generation, The",1995,"[-0.0075085745,-0.009017463,0.01990787,0.008797218,-0.008432219,0.03875799,0.026979277,0.010139855,0.046013933,-0.026838932,0.008656281,0.03959166,0.026743567,0.00490543,-0.011980953,-0.012853989,0.0185483,-0.010303682,-0.012980561,0.009670447,-0.006212788,0.03031902,0.031655107,0.004010358,-0.0060590124,0.016933972,0.01358783,0.020888882,-0.02819404,-0.003442865,-0.0010328412,0.0040438427,-0.0032006013,-0.025757782,-0.032286696,0.015592792,0.012277584,0.017136905,-0.01403471,-0.007900005,-0.026069947,-6.085274e-05,0.000535204,0.024730543,0.033239152,-0.027934784,-0.009947215,0.0022075952,-0.02503824,0.010098328,0.006277218,0.026932625,0.006405592,-0.014484277,-0.001349433,0.016055372,0.0015889914,0.028345114,0.014012922,0.012199521,0.014405024,0.0029455754,0.021719407,0.039136942,0.00949897,0.0016388784,0.034776002,0.00075127545,-0.027626175,-0.0061052362,0.00014763697,0.019322805,-0.0048913322,0.0059884805,0.037100643,-0.020213427,0.029022414,0.01988534,-0.0163107,-0.0063630403,-0.014243269,0.018040325,0.007590664,-0.0083145015,0.019853905,0.0056606005,-0.004648223,0.0042185285,-0.014263143,0.009184535,-0.0070977136,0.009628189,-0.013732584,-0.036471806,0.016988238,-0.017712949,0.016588766,0.0046706456,-0.003806761,0.0028843991]"
167,Unknown,,"[0.013802104,-0.029565137,-0.0033662806,-0.032643005,0.015379216,-0.009093069,0.012714389,-0.013357221,0.004998792,0.028531037,-0.032889403,0.008454787,0.03959082,-0.0071884454,0.0042138677,0.005731147,0.0036622577,0.038262125,-0.028893985,0.018491773,0.02651797,0.03163535,0.0053296303,0.012361777,0.01996835,0.01524132,-0.004227725,0.008422049,-0.01010908,-0.0029794183,0.018627347,-0.01681971,-0.0016691854,-0.009232162,0.0029279578,-0.0030248528,0.01764462,0.032279376,0.017528482,-0.004564416,-0.0089089265,0.003093648,0.0054226625,0.0063340734,0.029345464,0.03335888,-0.006112274,0.020033088,0.009780208,-0.0080282595,-0.027842628,-0.01476664,0.021460546,0.017961958,0.009238315,-0.031768337,0.022763718,0.028765077,-0.014410308,0.008438397,0.021850014,0.0073736934,-0.0202611,0.01460217,-0.04102302,0.018896988,-0.005017429,0.009245505,0.027157025,0.00063239015,-0.0038030127,0.014090569,-0.005347142,0.006083815,-0.0021935438,-0.0028369816,-0.004006222,0.031381704,0.0073593934,0.05971032,0.010375119,0.011514345,-0.027640697,0.016306661,0.015382229,-0.017800448,-0.006062427,-0.0067691747,0.015719602,0.003972096,0.009937735,-0.013078795,7.251204e-05,0.030060533,0.029785004,0.020540213,0.0050344365,-0.010363532,-0.023741571,0.022153836]"
168,First Knight,1995,"[-0.041608512,0.0010078299,0.024653368,0.03368956,-0.010364946,-0.00669347,-0.0133420015,-0.012259177,0.0012333997,0.013224126,0.017448472,0.012552694,0.0042731888,0.009038374,-0.012604127,-0.008229497,-0.00025991153,-0.021857658,0.02282852,0.006956804,-0.01433769,0.004481654,-0.0028549058,-0.0018461229,-0.0033456094,0.017431216,0.019899685,-0.0120132845,0.0060496693,-2.1456392e-05,-0.01415578,0.0033545753,0.010462266,0.01449496,-0.0024320371,0.0029435297,-0.022189148,-0.005866974,-0.01293038,0.017212357,-0.023009237,0.0069444017,-0.0025164762,0.0039701327,0.006718572,0.03444478,0.015909575,0.019777792,0.007243501,-0.0025930486,0.009315531,0.016115714,-0.012418473,0.009030461,0.008098549,-0.0023706376,-0.0027753557,-0.018324042,-0.00084134476,0.014868297,-0.017864179,0.022575624,0.027570741,-0.019929118,-0.024564672,-0.0069149802,0.0034783492,-0.0037781647,0.022084327,-0.018195167,0.016218938,0.015961379,0.017409557,-0.021105628,0.012776751,-0.0047893124,-0.015304088,0.009208806,-0.0018270501,0.034437682,0.013929938,0.008974698,-0.027909718,0.00064585876,2.6692815e-05,-0.009677565,0.014728701,0.017239308,-0.00044244085,-0.021306686,0.004622126,0.0036437588,0.00901576,-0.03127469,0.024732117,0.038582724,-0.0088848295,0.02339087,0.019667845,-0.0015665586]"
169,Free Willy 2: The Adventure Home,1995,"[0.03982976,-0.0562902,-0.011353611,-0.049235653,0.019728765,-0.0036034416,-0.045735504,0.0013281268,-0.016701208,0.026734069,0.038766082,-0.017856643,0.013977498,-0.0026189883,0.0040603424,0.0040052496,-0.008652119,0.02575499,0.023366055,0.018212033,0.009157118,0.0114328135,-0.010457304,0.022885479,0.025635766,-0.005039871,0.0004639357,0.007522485,0.026762603,0.019977761,0.0149993105,0.0241633,0.012548158,-0.018693343,-0.01975353,0.03469361,0.018665018,-0.04237842,0.015097302,0.00048363488,-0.011579025,0.025345929,-0.0015010686,0.0034168537,0.011004283,0.030436968,-0.007507216,0.025251493,0.01670069,-0.0060399533,-0.034360982,0.027342938,0.03164319,-0.01885036,-0.00017072541,0.019720089,0.002728786,0.017460704,0.037925806,0.02073356,-0.008621022,-0.011841673,0.010247112,0.044047914,0.01163516,-0.077536866,0.0039236685,0.06321164,0.03259157,-0.07647401,-0.026903901,0.0033365195,0.0006062968,0.004206513,-0.012415046,0.05134442,0.025676677,0.01916629,-0.019343624,0.030674469,-0.022510748,0.04587369,0.008815712,0.005213483,-0.005747886,0.018818498,-0.028073791,-0.027466794,0.047242537,-0.007865276,0.028387507,-0.009082598,0.037783004,0.026937699,-0.0033363001,-0.0024804526,-0.009519038,-0.013796852,-0.019248514,-0.041504994]"
170,Hackers,1995,"[0.0043739774,-0.0007534868,0.011304129,0.0005439351,0.0029172972,0.004963924,-0.01015591,0.0040454166,0.0009792565,0.0051560686,-0.0005001434,-0.008793471,0.005686004,0.006861232,-0.008073375,0.014813521,0.0027178198,0.004270053,0.008991244,-0.0005791305,0.0087299105,0.0033326258,-0.01160106,0.010049966,0.005388867,0.008964658,0.00012630627,0.0011663127,0.0042546,0.00063646166,0.008110239,0.0050224117,0.0066460785,0.0063338676,0.002767611,0.010876823,0.0003175056,0.0071314825,0.005965756,0.00914031,-0.0007161027,-0.0031479504,0.009580913,0.008663151,-0.0060842237,4.081444e-05,0.0059796115,-6.764106e-05,0.016407896,0.010112798,-0.009246248,0.010809684,0.011539104,-0.004302792,0.0011041801,-0.00075238384,0.020875292,0.009296784,0.011845315,-0.013804341,0.010566759,0.007389905,0.0010397608,0.0062261163,0.00050257787,0.0035416605,0.0024650292,0.004935693,-0.00058414746,0.008434841,0.007178962,-0.0043636775,-0.0019721042,0.011401495,-0.011443899,-0.00023364984,0.014091904,0.019993413,0.0098196305,0.0074828407,0.016406855,0.006825673,0.016257837,-0.0012696928,0.0006572865,0.0071157585,0.016321946,-0.0012979733,0.014502885,0.00053173024,0.0145161515,0.009535471,-0.0006701882,-0.012807253,-0.0013380222,0.0006440436,-0.005496792,0.0046137827,-0.0025147782,0.0012551094]"
